版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
7.41,伸展,,通常,,/stretch,246237,<me>对<t>伸展身体。,<me>伸了个懒腰。,1,NEW
7.41,迷糊,,通常,,/stagger,246236,<me>对<t>犯起迷糊。,<me>有些迷糊。,1,NEW
7.41,安抚,,通常,,/soothe,246235,<me>安抚<t>。,<me>尝试安抚。,1,NEW
7.41,鼓励,,通常,,/rally,246234,<me>对<t>挥拳表示鼓励。,<me>挥拳表示鼓励。,1,NEW
7.41,耸肩,,通常,,/shrug,246233,<me>对<t>耸肩。,<me>耸了耸肩。,1,NEW
7.41,震惊,,通常,,/shocked,246232,<me>看到<t>非常震惊。,<me>非常震惊。,1,NEW
7.41,敬礼,,通常,,/salute,246231,<me>郑重地向<t>敬礼。,<me>郑重地敬礼。,1,NEW
7.41,激励,,通常,,/psych,246230,<me>激励<t>。,<me>激励自己。,1,NEW
7.41,称赞,,通常,,/congratulate,246229,<me>称赞<t>。,<me>表示称赞。,1,NEW
7.41,戳指,,通常,,/poke,246228,<me>用手指戳向<t>。,<me>伸手戳向前方。,1,NEW
7.41,指向,,通常,,/point,246227,<me>指向<t>。,<me>伸手指向前方。,1,NEW
7.41,慌张,,通常,,/panic,246226,<me>看到<t>很慌张。,<me>非常慌张。,1,NEW
7.41,否定,,通常,,/deny,246225,<me>向<t>表示否定。,<me>表示否定。,1,NEW
7.41,摇头,,通常,,/no,246224,<me>向<t>摇头。,<me>原地摇头。,1,NEW
7.41,展示,,通常,,/me,246223,<me>对<t>展示自己。,<me>在展示自己的存在。,1,NEW
7.41,张望,,通常,,/lookout,246222,<me>在观望<t>附近的情况。,<me>在观望附近的情况。,1,NEW
7.41,大笑,,通常,,/laugh,246221,<me>看着<t>高声大笑。,<me>在捧腹大笑。,1,NEW
7.41,轻笑,,通常,,/chuckle,246220,<me>偷偷笑话<t>。,<me>在偷笑。,1,NEW
7.41,下跪,,通常,,/kneel,246219,<me>向<t>诚心诚意地下跪。,<me>跪下了。,1,NEW
7.41,高兴,,通常,,/joy,246218,<me>向<t>表达自己的喜悦。,<me>很高兴。,1,NEW
7.41,莫名,,通常,,/huh,246217,<me>觉得<t>莫名其妙。,<me>觉得很莫名其妙。,1,NEW
7.41,挥手,,通常,,/wave,246216,<me>向<t>挥手。,<me>原地挥手。,1,NEW
7.41,道别,,通常,,/goodbye,246215,<me>向<t>告别。,<me>表示道别。,1,NEW
7.41,后悔,,通常,,/fume,246214,<me>对<t>表示非常后悔。,<me>十分懊悔。,1,NEW
7.41,打盹,,通常,,/doze,246213,<me>在<t>边上打了个盹。,<me>打了个盹。,1,NEW
7.41,质疑,,通常,,/doubt,246212,<me>对<t>表示质疑。,<me>表示非常不满。,1,NEW
7.41,跳舞,,通常,,/dance,246211,<me>在<t>面前欢快地起舞。,<me>原地起舞。,1,NEW
7.41,哭泣,,通常,,/cry,246210,<me>对<t>流下了眼泪。,<me>痛哭流涕。,1,NEW
7.41,安慰,,通常,,/comfort,246209,<me>安慰<t>。,<me>表示安慰。,1,NEW
7.41,招手,,通常,,/beckon,246208,<me>对<t>招手。,<me>原地招手。,1,NEW
7.41,拍手,,通常,,/clap,246207,<me>向<t>送上掌声。,<me>拍手鼓掌。,1,NEW
7.41,加油,,通常,,/cheer,246206,<me>大声给<t>加油。,<me>大声加油。,1,NEW
7.41,行礼,,通常,,/bow,246205,<me>恭敬地对<t>行礼。,<me>恭敬地行礼。,1,NEW
7.41,害羞,,通常,,/blush,246204,<me>对<t>显出害羞的一面。,<me>很不好意思。,1,NEW
7.41,愤怒,,通常,,/furious,246203,<me>对<t>十分生气。,<me>很愤怒。,1,NEW
7.41,不满,,通常,,/angry,246202,<me>对<t>发泄心中不满。,<me>有些不满。,1,NEW
7.41,惊讶,,通常,,/surprised,246201,<me>对<t>表示惊讶。,<me>有些惊讶。,1,NEW
7.41,表情：幸福,,表情,,/content,246133,<me>对<t>露出了幸福的微笑。,<me>面带幸福的微笑。,1,NEW
7.41,表情：假笑,,表情,,/fakesmile,246132,<me>对<t>露出了虚伪的笑容。,<me>露出了虚伪的笑容。,1,NEW
7.41,表情：忍耐,,表情,,/endure,246131,<me>对<t>做出了忍耐的表情。,<me>做出了忍耐的表情。,1,NEW
7.41,表情：左飞眼,,表情,,/leftwink,246130,<me>对<t>抛出飞眼。,<me>抛出飞眼。,1,NEW
7.41,表情：思索,,表情,,/ponder,246129,<me>对<t>做出仿佛正在思索的表情。,<me>做出仿佛正在思索的表情。,1,NEW
7.41,表情：苦笑,,表情,,/scoff,246128,<me>对<t>露出了苦笑。,<me>露出了苦笑。,1,NEW
7.41,表情：皱眉,,表情,,/furrow,246127,<me>对<t>皱起了眉。,<me>皱起了眉。,1,NEW
7.41,表情：沉思,,表情,,/reflect,246126,<me>对着<t>陷入了沉思。,<me>陷入了沉思。,1,NEW
7.41,表情：咧嘴,,表情,,/biggrin,246125,<me>对<t>咧嘴笑了。,<me>咧嘴笑了。,1,NEW
7.41,表情：满足,,表情,,/beam,246124,<me>对<t>做出了满足的表情。,<me>做出了满足的表情。,1,NEW
7.41,表情：柔和,,表情,,/simper,246123,<me>对<t>露出了柔和的微笑。,<me>露出了柔和的微笑。,1,NEW
7.41,表情：困惑,,表情,,/disturbed,246122,<me>对<t>做出了困惑的表情。,<me>做出了困惑的表情。,1,NEW
7.41,表情：认真,,表情,,/concentrate,246121,<me>对<t>做出了认真的表情。,<me>做出了认真的表情。,1,NEW
7.41,表情：嘟嘴,,表情,,/puckerup,246120,<me>向<t>索吻。,<me>嘟起了嘴。,1,NEW
7.41,表情：阴险,,表情,,/sneer,246119,<me>阴险地看着<t>。,<me>做出了阴险的表情。,1,NEW
7.41,表情：右飞眼,,表情,,/wink,246118,<me>对<t>抛出飞眼。,<me>抛出飞眼。,1,NEW
7.41,表情：担心,,表情,,/worried,246113,<me>对<t>做出了担心的表情。,<me>做出了担心的表情。,1,NEW
7.41,表情：吃惊,,表情,,/alert,246112,<me>对<t>做出了吃惊的表情。,<me>做出了吃惊的表情。,1,NEW
7.41,表情：反感,,表情,,/annoyed,246111,<me>对<t>做出了反感的表情。,<me>做出了反感的表情。,1,NEW
7.41,表情：痛苦,,表情,,/ouch,246110,<me>对<t>做出了痛苦的表情。,<me>做出了痛苦的表情。,1,NEW
7.41,表情：意外,,表情,,/amazed,246109,<me>对<t>做出了意外的表情。,<me>做出了意外的表情。,1,NEW
7.41,表情：恐怖,,表情,,/scared,246108,<me>充满恐惧地看着<t>。,<me>做出了充满恐惧的表情。,1,NEW
7.41,表情：悲伤,,表情,,/sad,246107,<me>对<t>做出了悲伤的表情。,<me>做出了悲伤的表情。,1,NEW
7.41,表情：闭目,,表情,,/shuteyes,246106,<me>在<t>面前闭上了眼睛。,<me>闭上了眼睛。,1,NEW
7.41,表情：无畏,,表情,,/taunt,246105,<me>对<t>做出了无所畏惧的表情。,<me>做出了无所畏惧的表情。,1,NEW
7.41,表情：自信,,表情,,/smirk,246104,<me>对<t>做出了充满自信的表情。,<me>做出了充满自信的表情。,1,NEW
7.41,表情：笑颜,,表情,,/grin,246103,<me>对<t>露出了笑颜。,<me>露出了笑颜。,1,NEW
7.41,表情：微笑,,表情,,/smile,246102,<me>对<t>露出了微笑。,<me>露出了微笑。,1,NEW
7.41,表情：平常,,表情,,/straightface,246101,<me>面无表情地看着<t>。,<me>面无表情。,1,NEW
7.3,用羽毛笔记录,羽根ペンで記述する,特别,PVP第九季通行证5级奖励（截止至7.4前）,/pen,064477.tex,xx在xx面前用羽毛笔记述了内容。,xx用羽毛笔记述了内容。,0,OLD
7.3,跃跃欲试,張り切る,通常,宇宙爆炸好运票【法恩娜】稀有奖励,/limberup,064474.tex,xx在xx面前跃跃欲试。,xx跃跃欲试。,0,OLD
7.4,持续用海都风格马克杯喝,海都風マグカップで飲み続ける,通常,2025年星芒节奖励,/lominsangulp,064473.tex,xx在xx面前用海都风格马克杯持续饮用了潘趣软饮。,xx用海都风格马克杯持续饮用了潘趣软饮。,1,OLD
7.4,持续用沙都风格马克杯喝,砂都風マグカップで飲み続ける,通常,2025年星芒节奖励,/uldahngulp,064472.tex,xx在xx面前用沙都风格马克杯持续饮用了潘趣软饮。,xx用沙都风格马克杯持续饮用了潘趣软饮。,1,OLD
7.4,持续用森都风格马克杯喝,森都風マグカップで飲み続ける,通常,2025年星芒节奖励,/gridaniangulp,064471.tex,xx在xx面前用森都风格马克杯持续饮用了潘趣软饮。,xx用森都风格马克杯持续饮用了潘趣软饮。,1,OLD
7.4,用海都风格马克杯喝,海都風マグカップで飲む,通常,2025年星芒节奖励,/lominsansip,064470.tex,xx在xx面前用海都风格马克杯饮用了潘趣软饮。,xx用海都风格马克杯饮用了潘趣软饮。,1,OLD
7.4,用沙都风格马克杯喝,砂都風マグカップで飲む,通常,2025年星芒节奖励,/uldahnsip,064469.tex,xx在xx面前用沙都风格马克杯饮用了潘趣软饮。,xx用沙都风格马克杯饮用了潘趣软饮。,1,OLD
7.4,用森都风格马克杯喝,森都風マグカップで飲む,通常,2025年星芒节奖励,/gridaniansip,064468.tex,xx在xx面前用森都风格马克杯饮用了潘趣软饮。,xx用森都风格马克杯饮用了潘趣软饮。,1,OLD
7.2,认真看书,本を熟読する,特别,自动获得,/study,064467.tex,xx认真地看起了书。,xx在xx面前认真地看起了书。,0,OLD
7.2,玩神典石,トームストーンを愛で続ける,特别,自动获得,/tomescroll,064466.tex,xx玩起了神典石。,xx在xx面前玩起了神典石。,0,OLD
7.2,气得发抖,怒りに震える,特别,"宇宙探索-宇宙信用点x9600 兑换",/rage,064465.tex,xx气愤到浑身颤抖。,xx在xx面前气愤到浑身颤抖。,0,OLD
7.2,晕头转向,ふらつく,特别,PVP第八季通行证5级奖励（截止至7.3前）,/dazed,064464.tex,xx有些晕头转向。,xx在xx面前不禁有些晕头转向。,0,OLD
7.25,转圈,くるっと回る,通常,新月岛探索宝箱掉落,/twirl,064463.tex,xx在xx面前转了个圈。,xx转了个圈。,0,OLD
7.2,大惊小怪,大げさに驚く,通常,2025年秋金碟季节活动报酬,/overreact,064462.tex,xx开始大惊小怪起来。,xx在xx面前显得有些大惊小怪。,0,OLD
7.18,拍照,撮影する,通常,联动，自动获得,/photograph,064461.tex,xx为xx拍了张照片。,xx拍了张照片。,0,OLD
7.2,用触控板记录,タブレットで記録する,通常,"宇宙探索-宇宙好运爆 奖品",/visage,064460.tex,xx使用触控板记录了自己的模样。,xx在xx面前使用触控板记录了自己的模样。,0,OLD
7.1,噢霍卡利！,オフォカリー,通常,完成7.1的友好部族：佩鲁佩鲁族「新事业！图拉尔旅行公司」任务后获得,/ohokaliy,064459.tex,xx向xx高呼噢嚯卡利。,xx高呼噢嚯卡利。,0,OLD
7.3,吹泡泡,シャボン玉,通常,官网道具商城购买,/blowbubbles,064458.tex,xx对着xx吹起了泡泡。,xx吹起了泡泡。,0,OLD
7.4,赠与花束,花束を贈る,特别,2026年恋人节奖励,/bouquet,064457.tex,xx对xx送出了花束。,xx送出了花束。,1,OLD
7.16,象征自由的姿势,自由のポーズ,通常,完成7.0系列的全部职能任务,/poseoftheunbound,064456.tex,xx在xx面前摆出了象征自由的姿势。,xx象征自由的姿势。,0,OLD
7.1,调饮,シェイカーを振る,特别,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>50,000金碟币",/shakedrink,064455.tex,xx开始在xx面前摇晃摇壶。,xx开始摇晃摇壶。,0,OLD
7.1,浇水,水をまく,特别,成就币交换,/water,064454.tex,xx开始给xx浇水。,xx开始浇水。,0,OLD
7.1,待命,指示を待つ,特别,PVP第七季通行证5级奖励（截止至7.2前）,/attend,064453.tex,xx开始等待xx的指示。,xx开始等待指示。,0,OLD
"7.0 ",扇大团扇,大うちわで扇ぐ,通常,2025年红莲节奖励,/uchiwasshoi,064452.tex,xx对着xx用大团扇扇风。,xx用大团扇扇风。,0,OLD
6.58,制作煎蛋,目玉焼きを作る,通常,2024年官方运营活动获得,/fryegg,064451.tex,xx为xx烹饪了一份简单美味的煎蛋。,xx烹饪了一份简单美味的煎蛋。,0,OLD
6.51,大获全胜,ビーンズ?ビクトリー,通常,糖豆人联动,/victoryreveal,064450.tex,xx在xx面前庆祝了胜利。,xx庆祝了胜利。,0,OLD
6.51,得意洋洋,自慢げなポーズ,通常,"「阿罗阿罗金币」x9 兑换",/humbletriumph,064449.tex,xx在xx面前得意洋洋地摆出了骄傲的姿势。,xx得意洋洋地摆出了骄傲的姿势。,0,OLD
"7.0 ",比心,ハートポーズ,特别,2025年恋人节奖励,/loveheart,064448.tex,xx通过比心向xx传达爱意。,xx通过比心传达爱意。,0,OLD
6.5,垂头丧气,うなだれる,特别,PVP第五季通行证5级奖励（截止至7.0前）,/slump,064447.tex,xx在的面前垂头丧气，提不起一点精神。,xx垂头丧气，提不起一点精神。,0,OLD
6.58,众生离绝,エクソダス,特别,实体特典,/sundering,064446.tex,xx向xx发动了“众生离绝”，没有造成伤害。,xx跃向高空，发动众生离绝。,0,OLD
"7.0 ",吃炸鸡,フライドチキンを食べる,通常,2025年官方运营活动获得,/eatchicken,064445.tex,xx在的面前愉快地吃起了炸鸡。,xx愉快地吃起了炸鸡。,2,OLD
6.45,比对文献,文献と見比べる,通常,"「六根山遗物」x9 兑换",/reference,064444.tex,xx在xx面前比对了文献。,xx比对了文献。,0,OLD
6.55,兔兔舞,レポリットダンス,特别,完成6.55的「友好部族联合任务」后获得,/lophop,064443.tex,xx在xx面前跳起了兔兔舞。,xx跳起了兔兔舞。,0,OLD
6.45,守护天节的魔咒,守護天節のおまじない,通常,2024年万圣节活动任务奖励,/allsaintscharm,064442.tex,xx对xx施展了守护天节的魔咒。,xx施展了守护天节的魔咒。,0,OLD
6.4,声援小绿,声援：緑,特别,官网道具商城购买,/cheerjumpgreen,064441.tex,xx热烈声援xx。,xx开始声援。,0,OLD
6.4,声援小紫,声援：紫,特别,官网道具商城购买,/cheerwaveviolet,064440.tex,xx热烈声援xx。,xx开始声援。,0,OLD
6.4,声援小白,声援：白,特别,官网道具商城购买,/cheeronbright,064439.tex,xx热烈声援xx。,xx开始声援。,0,OLD
6.4,手抚胸,胸に手をあてる,通常,PVP第四季通行证5级奖励（截止至6.5前）,/handtoheart,064438.tex,xx面向xx以手抚胸。,xx以手抚胸。,0,OLD
6.4,雀跃5,ハッピージャンプ5,通常,官网道具商城购买,/jumpforjoy5,064437.tex,xx在xx面前开心地跳了起来，动作好像仙人刺。,xx开心地跳了起来，动作好像仙人刺。,0,OLD
6.4,雀跃4,ハッピージャンプ4,通常,官网道具商城购买,/jumpforjoy4,064436.tex,xx在xx面前开心地跳了起来，动作格外舒展。,xx开心地跳了起来，动作格外舒展。,0,OLD
6.4,雀跃3,ハッピージャンプ3,通常,官网道具商城购买,/jumpforjoy3,064435.tex,xx在xx面前开心地跳了起来，跳得格外的高。,xx开心地跳了起来，跳得格外的高。,0,OLD
6.4,雀跃2,ハッピージャンプ2,通常,官网道具商城购买,/jumpforjoy2,064434.tex,xx在xx面前开心地跳了起来，动作格外欢乐。,xx开心地跳了起来，动作格外欢乐。,0,OLD
6.4,雀跃1,ハッピージャンプ1,通常,官网道具商城购买,/jumpforjoy1,064433.tex,xx在xx面前开心地跳了起来，动作格外可爱。,xx开心地跳了起来，动作格外可爱。,0,OLD
6.4,猛き光の降臨,威光降临,通常,官网道具商城购买,/adventoflight,064432.tex,xx像光之战士一样英勇降临于xx面前。,xx像光之战士一样英勇降临。,0,OLD
6.4,吓唬人,驚かす,通常,2024年彩蛋节奖励,/frighten,064431.tex,xx吓唬xx。,xx吓唬人。,0,OLD
6.35,摇兔兔耳,おみみピコピコ,通常,兔兔族友好度到达-血誓后<br/>在该蛮族商店用8枚兔兔人参币兑换,/earwiggle,064430.tex,xx对xx摇了摇兔兔耳。,xx摇了摇兔兔耳。,0,OLD
6.3,通讯珠,リンクパール通信,通常,PVP第三季通行证5级奖励（截止至6.4前）,/linkpearl,064429.tex,xx对xx用通讯珠交流。,xx用通讯珠交流。,0,OLD
6.5,公主之舞,姫の舞踊,通常,2024年女儿节奖励,/ladance,064428.tex,xx在xx面前跳起公主之舞。,xx跳起公主之舞。,0,OLD
6.3,魔术,手品,特别,官网道具商城购买,/magictrick,064427.tex,xx对xx表演魔术。,xx表演魔术。,0,OLD
6.2,观战,観戦する,特别,PVP第二季通行证5级奖励（截止至6.3前）,/spirit,064426.tex,xx开始在xx面前手舞足蹈地观战。,xx开始手舞足蹈地观战。,0,OLD
6.25,两眼放光,目を輝かせる,通常,"旧萨雷安(X:12.0 Y:13.3)特里萨桑<br />「希拉狄哈遗物」x9兑换",/wow,064425.tex,xx对xx两眼放出光芒。,xx两眼放出光芒。,0,OLD
6.2,叛逆精神,反骨精神を示す,通常,官网道具商城购买,/deride,064424.tex,xx对xx做了一个鬼脸。,xx做了一个鬼脸。,0,OLD
6.1,亮出武器,武器を構える,通常,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>100,000金碟币",,064423.tex,xx对xx亮出了武器。,,0,OLD
6.1,收回武器,武器を収める,通常,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>100,000金碟币",,064422.tex,xx在xx的面前收回了武器。,,0,OLD
6.3,展现左侧,見せつける：左,特别,2023年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,,064421.tex,xx向大家展现xx的魅力。,,0,OLD
6.3,展现右侧,見せつける：右,特别,2023年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,,064420.tex,xx向大家展现xx的魅力。,,0,OLD
6.1,干劲十足,意気込む,通常,PVP第一季通行证5级奖励,,064419.tex,xx对xx表示自己干劲十足。,,0,OLD
6.15,饮用红茶,紅茶を飲む,通常,官网道具商城购买,,064418.tex,xx在xx面前优雅地喝起了红茶。,,0,OLD
6.3,吃水煮蛋,ゆで卵を食べる,通常,2023年彩蛋节季节活动报酬，现不可获得<br/>可等次年道具商城购买,,064417.tex,xx在xx面前愉快地吃起了水煮蛋。,,0,OLD
6.4,吃恋人巧克力,ヴァレンティオンチョコを食べる,通常,2024年恋人节奖励,/eatchocolate,064415.tex,xx开始品尝恋人巧克力，仿佛有种恋爱的味道。,xx开始在xx面前品尝恋人巧克力，仿佛有种人生赢家的味道。,0,OLD
6.2,吃南瓜曲奇,パンプキンクッキーを食べる,通常,2023年守护天节季节活动报酬，现不可获得<br/>可等次年道具商城购买,/eatpumpkincookie,064414.tex,xx在xx面前有滋有味地吃起了南瓜曲奇。,xx有滋有味地吃起了南瓜曲奇。,0,OLD
5.58,吃披萨,ピザを食べる,通常,国际服美版账号线下联动，国服未知,/eatpizza,064413.tex,x在x的面前愉快地吃起了披萨。,x愉快地吃起了披萨。,0,OLD
5.55,嘘,静寂を促す,全般,5.55主线全部做完获得,/shush,064412.tex,x提醒x保持安静。,x保持安静。,0,OLD
5.5,困惑,困惑する,通常,2022年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/vexed,064411.tex,x对x的言行举止感到困惑。,x感到困惑。,0,OLD
5.5,默剧,パントマイム,通常,官网道具商城购买,/pantomime,064410.tex,x为x表演起了默剧。,x表演起了默剧。,0,OLD
5.4,蓝色陆行鸟之笔,チョコボの筆：青,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintblue,064409.tex,x当着xx的面将脚下涂成了一片碧蓝。,x将自己的脚下涂成了一片碧蓝。,0,OLD
5.4,黄色陆行鸟之笔,チョコボの筆：黄,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintyellow,064408.tex,x当着xx的面将脚下涂成了一片奶黄。,x将自己的脚下涂成了一片奶黄。,0,OLD
5.4,红色陆行鸟之笔,チョコボの筆：赤,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintred,064407.tex,x当着xx的面将脚下涂成了一片粉红。,x将自己的脚下涂成了一片粉红。,0,OLD
5.4,黑色陆行鸟之笔,チョコボの筆：黒,通常,梦羽宝殿稀有掉落「陆行鸟之笔」，一本可以开4个颜色动作,/paintblack,064406.tex,x当着xx的面将脚下涂成了一片漆黑。,x将自己的脚下涂成了一片漆黑。,0,OLD
5.41,扫地,ホウキで掃く,持续,"重建伊修加德 天穹街振兴票x1800",/sweep,064405.tex,x开始为x清扫地面。,x开始扫地。,0,OLD
5.55,搓手,もみ手をする,持续,"「扎杜诺尔高原」<br/> 「高原上锁的宝箱」一定几率掉落",/wringhands,064404.tex,x在x面前搓起了手。,x搓起了手。,0,OLD
5.41,吃苹果,リンゴを食べる,通常,重建伊修加德「库啵好运道」二等奖,/eatapple,064403.tex,x在x面前悠闲地吃起了苹果。,x悠闲地吃起了苹果。,0,OLD
5.41,吃饭团,おにぎりを食べる,通常,"重建伊修加德 天穹街振兴票x1800",/eatriceball,064402.tex,x在x面前大口地吃起了饭团。,x大口地吃起了饭团。,0,OLD
5.3,啦哩吼舞,ラリホップ,持续,矮人族族友好度到达-血誓后<br/>在该蛮族商店用8枚绿蛙币兑换,/lalihop,064401.tex,x在x面前跳起了啦哩吼舞。,x跳起了啦哩吼舞。,0,OLD
5.3,蜜蜂之舞,ビーステップ,持续,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/beesknees,064400.tex,x在x面前跳起了蜜蜂之舞。,x跳起了蜜蜂之舞。,0,OLD
5.45,诅咒,呪う,持续,"南方博兹雅战线<br/>博兹雅晶簇x50 交换",/malevolence,064399.tex,x诅咒了x。,x满脸恶意地诅咒着。,0,OLD
5.35,巡视,警備する,持续,"南方博兹雅战线<br/>博兹雅晶簇x50 交换",/guard,064398.tex,x对xx周围进行巡视。,x巡视四周。,0,OLD
5.31,击掌,ハイタッチ,通常,"重建伊修加德 天穹街振兴票x1800",/highfive,064397.tex,x与xx默契地击掌。,x做出了击掌的动作。,0,OLD
5.3,火焰之舞,フレイムダンス,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/flamedance,064396.tex,x在x面前跳起了火焰之舞。,x跳起了火焰之舞。,0,OLD
5.4,花雨,フラワーシャワー,通常,官网道具商城购买,/flowershower,064395.tex,x在xx面前撒下了一片花雨。,x沐浴在花雨中。,0,OLD
5.3,嘿哟,わっしょい,持续,官网道具商城购买,/wasshoi,064394.tex,x对着x嘿哟嘿哟鼓起劲来。,x嘿哟嘿哟鼓起劲来。,0,OLD
5.2,坚持主张,主張する,通常,"重建伊修加德 天穹街振兴票x1800",/insist,064393.tex,x对x发表了自己的主张。,x发表了自己的主张。,0,OLD
5.3,疑问,疑問を抱く,通常,2021年秋金碟季节活动报酬，现不可获得<br/>可等次年道具商城购买,/consider,064392.tex,x对x产生了疑问。,x心怀疑问。,0,OLD
5.2,看书,本を読む,通常,"重建伊修加德 天穹街振兴票x1800",/read,064391.tex,x在x面前悠闲地看起了书。,x悠闲地看起了书。,0,OLD
5.2,吃面包,パンを食べる,通常,重建伊修加德「库啵好运道」,/breakfast,064390.tex,x在x面前优雅地吃起了面包。,x优雅地吃起了面包。,0,OLD
5.2,打响指,フィンガースナップ,通常,官网道具商城购买,/snap,064389.tex,x对x华丽地打了个响指。,x华丽地打了个响指。,0,OLD
5.11,背靠,斜め立ち,持续,"艾妮(天穹街X:12.0 Y:14.0）<br />天穹街振兴票x1800兑换",/lean,064388.tex,无,无,0,OLD
5.15,头痛,頭痛,通常,"泪男子拉图迦(乌尔达哈来生回廊X:12.5 Y:13.0)<br />同盟徽章400兑换<br />需完成青魔法师60级职业任务「永别了，初代蓝色假面」后，开放兑换",/headache,064387.tex,x对x感到头疼露出了苦相。,x因头痛而面露苦相。,0,OLD
5.1,干杯,乾杯する,通常,官网道具商城购买,/toast,064386.tex,向x举起杯子想要碰撞一下。,x高举杯子一饮而尽。,0,OLD
5.4,欧米茄F架势,オメガFの構え,持续,实体特典,/simulationf,064385.tex,x对xx做出了欧米茄F的架势。,x做出了欧米茄F的架势。,0,OLD
5.4,欧米茄M架势,オメガMの構え,持续,实体特典,/simulationm,064384.tex,x对xx做出了欧米茄M的架势。,x做出了欧米茄M的架势。,0,OLD
5.x,啦哩吼,ラリホー,通常,"系列支线任务「啦哩吼！！」奖励，需完成以下支线后才开放该任务<br />1.矮人族的不良青年（珂露西亚岛X:12.4 Y:9.2 Z:4.1）贝奥图※风脉任务<br />2.小弟的心得！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />3.打招呼的特训！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />",/laliho,064383.tex,向x道了声啦哩吼。,啦哩吼了一下。,0,OLD
4.56,绅士舞步,事件屋のマンボ,持续,"事件屋外传 红莲篇<br/>「最强的男人不会停歇」任务报酬",/mandervillemambo,064382.tex,对x非常绅士地跳起了舞。,跳起了绅士舞步。,0,OLD
4.5,优雅仙人刺,サボテンダーポーズ,通常,19年季节活动报酬，现不可获得<br/>可等次年道具商城购买,/sabotender,064381.tex,对x模仿起了仙人刺。,优雅地模仿起了仙人刺。,0,OLD
4.5,提醒,注意する,持续,"狼印战绩15000<br/>狼狱停船场（X:4.4 Y:6.1）物资负责人",/reprimand,064380.tex,提醒x注意。,提醒起了周围的人。,0,OLD
4.55,振作精神,ガッツポーズ,通常,"「优雷卡 丰水之地」<br/> 「发生变异的结冰上锁宝箱」一定几率掉落",/fistpump,064379.tex,为x鼓劲。,振作起了精神。,0,OLD
4.56,心意,心づけ,通常,"蛮族故事剧情任务 红莲篇<br/>「三种至宝」任务报酬",/gratuity,064378.tex,对x撒钱以示心意。,撒了一把钱以示心意,0,OLD
5.x,古菩步,グゥーブー?ドゥ,持续,官网道具商城购买,/goobbuedo,064377.tex,对x跳起了古菩步。,跳起了古菩步。,0,OLD
5.x,趾踵步,ヒールトー,持续,官网道具商城购买,/heeltoe,064376.tex,对x跳起了趾踵步。,跳起了趾踵步。,0,OLD
4.4,欣赏神典石,トームストーン,通常,APP预约奖励,/tomestone,064375.tex,x开始在x面前欣赏神典石。,开始欣赏神典石。,0,OLD
4.45,说明计划,企みを話す,通常,优雷卡：涌火之地<br/>【发生变异的爆炎上锁宝箱】一定几率开出,/scheme,064374.tex,向xx说明自己的计划。,讲起了自己的计划。,0,OLD
4.4,确认,確認,持续,运河宝物库神殿一定几率掉落,/confirm,064373.tex,x开始对x进行确认。,开始进行确认。,0,OLD
4.4,哼歌,鼻歌,持续,"朱色慕恋<br/>文镇（红玉海X:27.8 , Y:16.4）",/hum,064372.tex,x为x哼唱了一首歌。,开始哼唱一首歌。,0,OLD
4.4,波波托步,ポポトステップ,持续,官网道具商城购买,/popotostep,064371.tex,x对x跳起了波波托步。,x跳起了波波托步。,0,OLD
4.4,幻想舞步,ゲットファンタジー,持续,官网道具商城购买,/getfantasy,064370.tex,x对x跳起了幻想舞步。,x跳起了幻想舞步。,0,OLD
4.3,说明,説明,通常,"物资负责人(狼狱停船场 X:4.4 Y:6.1)兑换<br/>狼印战绩：15,000",/elucidate,064369.tex,对x进行了说明。,进行了说明。,0,OLD
4.36,好冷,寒がる,持续,优雷卡恒冰之地的变异宝箱一定几率开启获得<br/>可通过演技教材:好冷学习，可在交易板购买,/shiver,064368.tex,x觉得x好冷。,感觉好冷。,0,OLD
4.35,好热,暑がる,持续,"从天之御柱获得天之陶器碎片进行交换<br/>海贼众的资材负责人(红玉海 X:21.2 Y:9.3)<br/>天之陶器碎片：10",/sweat,064367.tex,x感觉热意从x身上扑面而来。,觉得好热。,0,OLD
4.36,撩水,水をかける,通常,季节活动：红莲祭（2019）<br/>可等次年道具商城购买,/splash,064366.tex,向x撩起水花。,撩起了水花。,0,OLD
